ANO,GRUPO,Distribuição,Governo,Outros,Pessoal,RCP,RCT,Receitas,VAB,VALP,VATD
2012,Terciário,10105227.91,2131721.7,0,6465097.7,609802.01,898606.5,18386782.19,10486764.01,9805103.32,10105227.91
2012,Terciário,272211.16,92569.54,880.3,166594.42,-27727.73,39894.63,541510.96,245890.49,239152.12,272211.16
2012,Terciário,6792276.72,1078013.54,0,3497298.74,967319.75,1249644.7,8883870.86,6856892.54,6431388.19,6792276.72
2012,Terciário,11886720.62,4153013.45,0,3629205.75,1777500.29,2327001.13,31126518.75,11616057.95,11042463.71,11886720.62
2012,Terciário,1996103.2,590404.81,0,713795.51,345843.61,346059.27,3499840.31,2026127.14,1901484.93,1996103.2
2012,Terciário,1081171.16,219152.66,-6165.65,401567.76,-26964.1,493580.48,1891851.1,1104409,1008468.5,1081171.16
2012,Terciário,32922542.49,11000078.43,14440.13,6991052.61,13811036.82,1105934.5,97389186.6,34415279.36,31134247.02,32922542.49
2012,Terciário,14978102.78,4048614.64,0,4387919.62,4259506.96,2282061.56,27887705.52,16106983.46,14080552.28,14978102.78
2012,Terciário,33500.95,7830.79,0,11143.42,14526.74,0,44211.29,18470.42,17881.79,33500.95
2012,Terciário,8702714.12,2764624.13,0,3106205.88,2330327.89,501556.23,30393614.68,6561587.42,5972704.58,8702714.12
2012,Terciário,8039215.99,2313808.98,6406.05,3784554.23,404581.64,1529865.1,30117389.13,8255515.63,7480000.02,8039215.99
2012,Terciário,41121820.51,11098417.42,-2631537.74,10444906.63,7586015.42,14624018.76,90122618.51,45706612.48,37873079.45,41121820.51
2012,Terciário,193759780.41,105085104.44,2412772.2,29093197.17,15344429.91,41824276.7,372153789.37,224828745.95,177599472.02,193759780.41
2013,Primário,15050986.83,3023417.48,0,5022361.37,-22356.66,7027564.65,46046929.42,19666814.98,12605142.05,15050986.83
2013,Primário,90746960.29,36714890.45,1020647.76,16841415.07,-5567062.62,41737069.63,218911531.55,98479149.19,83291834.53,90746960.29
2013,Secundário,73586021.79,13807984.23,390332.32,30468908.05,2439867.85,26478929.35,292062718.29,66667218.56,58684907.82,73586021.79
2013,Secundário,79014190.99,46038794.72,3697384.9,6263789.51,18113336.26,4900885.61,116542644.27,80927042.67,77288141.77,79014190.99
2013,Secundário,402010.4,271644.46,0,130207.16,-140633.36,140792.14,1524702.21,506949.32,436001.69,402010.4
2013,Secundário,31787458.89,7805061.76,-40793.89,8159551.67,8409312.12,7454327.23,86033457.09,28212486.98,25671688.97,31787458.89
2013,Secundário,1297338.18,114668.14,12518.79,486332.59,271671.2,412147.45,4256064.08,1319592.89,1008399.73,1297338.18
2013,Secundário,136192867.25,72347475.15,1775266.96,25783120.06,8780352.94,27506652.14,309513307.25,133355416.54,117655097.07,136192867.25
2013,Secundário,40213091.13,10314338.11,34516.1,17097361.74,4134549.88,8632325.3,109032664.79,38249448.91,35089583.26,40213091.13
2013,Secundário,69192850.58,16441943.66,3670580.64,26296325.62,1420016.38,21363984.28,231086021.42,71066307.57,59769138.36,69192850.58
2013,Secundário,20665844.84,1733654.09,0,5361784.48,-2230554.95,15800961.21,57696601.68,24358335.88,16689626.79,20665844.84
2013,Secundário,279081668.1,180923188.91,3826067.74,48924826.37,-21015371.58,66422956.66,909446412.37,346757326.5,296590869.75,279081668.1
2013,Secundário,11678831.52,3959748.07,19244.51,2067708.67,585142.48,5046987.79,86974481.01,14093058.4,10370762.94,11678831.52
2013,Secundário,20629914.08,6355988.81,100976.03,8624057.02,2155405.04,3393487.18,50419567.25,20664224.35,19224225.24,20629914.08
2013,Sem Setor Principal,3618139.71,971933.1,133837.44,1196726.52,-1737223.49,3052866.14,8323736.19,56987.37,-186831.61,3618139.71
2013,Terciário,226058496.07,46387208.3,1042693.54,91407586.58,80688513.68,6532493.97,656520616.85,236358139.23,219012335.42,226058496.07
2013,Terciário,4119236.5,1505778.61,361529.07,608720.93,1445166.92,198040.97,3961603.32,3531359.61,3331358.09,4119236.5
2013,Terciário,69272146.86,20824056.94,0,22038634.82,5959915.76,20449539.34,253080542.77,66031238.77,62221972.94,69272146.86
2013,Terciário,9436925.3,1898905.98,0,6450598.49,109172.56,978248.28,17521952,9774202.57,9097068.18,9436925.3
2013,Terciário,307081.51,95821.42,0,110345.9,67138.51,33775.67,522727.35,274397.26,267631.43,307081.51
2013,Terciário,8313943.45,1255437.83,0,4084150.45,1728750.2,1245604.97,10880451.69,8393801.32,7878834.29,8313943.45
2013,Terciário,12180729.86,3731463.09,0,4008673.32,1276350.4,3164243.05,32557515.91,11809755.71,11153189.25,12180729.86
2013,Terciário,2229262.95,573143.49,0,951430.03,268759.62,435929.82,3949373.68,2306185.85,2118251.84,2229262.95
2013,Terciário,1390191.2,244417.34,133987.87,385455.18,241348.65,384982.17,2074599.86,1429134.84,1327901.42,1390191.2
2013,Terciário,23461884.92,4623423,90158.72,2841197.99,15268504.64,638600.57,24152529.57,13587162.06,11275229.94,23461884.92
2013,Terciário,4520026.78,1248192.3,60782.17,1696139.49,809504.67,705408.14,8958624.58,5016466.33,4195377.18,4520026.78
2013,Terciário,27322.39,5726.22,0,13743.93,7852.24,0,34949,21382.23,20952.68,27322.39
2013,Terciário,14020038.23,2968112.49,0,3456305.35,7463193.61,132426.78,33809801.48,9736439.49,9133723.9,14020038.23
2013,Terciário,5124582.58,1268775.61,10613.4,2163959.64,704508.93,976725.01,11431995.66,5267357.01,4803157.11,5124582.58
2013,Terciário,40929983.7,10211445.4,-243325.91,10628906.01,5709420.99,14623537.21,93480269.42,45520568.62,37537467.62,40929983.7
2013,Terciário,176707986.21,100417208.95,-239169.14,24059205.22,12212497.9,40258243.28,366532239.35,216067858.92,167009405.7,176707986.21
2014,Primário,15346391.6,3993360,0,5358435.1,-1055814.77,7050411.27,47498197.96,18080413.89,12570721.95,15346391.6
2014,Primário,65296677.97,17673243.72,0,16010529.26,-3665036.59,35277941.59,194050315.84,70296116.64,54152086.12,65296677.97
2014,Secundário,88865596.68,16683699.7,376179.31,33190715.17,6267977.49,32347025.01,327334665.3,81888736.18,73329795.36,88865596.68
2014,Secundário,78082790.86,45397021.96,0,5721413.76,22147168.9,4817186.24,120482383.2,80139726.58,76290052.32,78082790.86
2014,Secundário,292673.77,195253.25,0,105197.73,-132207.94,124430.72,1440128.45,392438.62,283699.21,292673.77
2014,Secundário,24859757.13,7004998.3,131957.77,7907787.93,2318218.79,7496794.34,76163539.7,22323596.51,19751943.08,24859757.13
2014,Secundário,1419669.8,169278.33,9891.84,546868.97,119765.65,573865.01,4703399.44,1428757.64,1130238.77,1419669.8
2014,Secundário,159290629.74,89130278.45,3497275,26238747.11,10642340.78,29781988.4,376985395.95,155245780.9,137632344.48,159290629.74
2014,Secundário,34854224.18,8748232.54,13653.79,15307722.65,1884910.26,8899704.94,98618669.64,32197476.85,29248804.68,34854224.18
2014,Secundário,63573597.24,14146406.96,2676367.37,25438099.28,768560.38,20544163.23,222807133.88,66074873.3,54366955.62,63573597.24
2014,Secundário,22913511.72,957725.57,0,5890624.44,22272.76,16042888.96,59140490.67,26628068.86,18003330.88,22913511.72
2014,Secundário,271239746.52,164858772.73,180096.89,51604587.97,-3328264.14,57924553.07,904397865.09,279172718.3,228533549.72,271239746.52
2014,Secundário,9896799.61,1871141.62,-81206.84,2304662.75,830785.31,4971416.77,87196701.99,12685707.67,9244613.34,9896799.61
2014,Secundário,19768958.14,5693212.62,123637.74,8473078.51,1662487.16,3816542.11,49760409.24,19907223.26,18459739.24,19768958.14
2014,Sem Setor Principal,-517860.54,438930.41,360676.81,972127.36,-5467051.49,3177456.37,6509215.91,-4159748.33,-4239455.82,-517860.54
2014,Terciário,248612666.97,55289309.12,841693.55,91957369.29,93890829.33,6633465.69,793042131.1,256709622.66,239222198.21,248612666.97
2014,Terciário,3831158.73,1467283.41,321093.72,571284.67,1229819.53,241677.39,3534521.61,3115604.59,2928163.17,3831158.73
2014,Terciário,70704716.68,18580584.11,0,22684231.55,7966049.2,21473851.82,257813671.57,67288339.19,63253415.98,70704716.68
2014,Terciário,9687205.28,1704121.79,0,6280291.92,751615.99,951175.57,15314234.26,9902817.47,9301260.28,9687205.28
2014,Terciário,73634.16,14907.77,0,34381.49,3311.96,21032.94,133874.14,23350.53,20413.03,73634.16
2014,Terciário,9621949.08,1199228.31,0,4321530.78,2830829.19,1270360.8,12200985.62,9722341.71,9087505.09,9621949.08
2014,Terciário,10836031.67,2831976.18,0,4216586.37,706658.25,3080810.88,32054974.29,10339153.69,9683361.23,10836031.67
2014,Terciário,2413331.35,561875.86,0,1039451.62,265617.93,546385.94,4283815.3,2530787.28,2306747.48,2413331.35
2014,Terciário,1394638.9,319617.89,8821.94,452979.12,222696.14,390523.82,2012929.86,1452893.28,1340454.86,1394638.9
2014,Terciário,27269060.54,4781080.33,16155.46,2482696.94,18685917.99,1303209.82,24432238.35,13238256.54,11408661.58,27269060.54
2014,Terciário,4474914.83,1211788.6,0,1740093.26,703824.59,819208.38,9618984.84,5105626.05,4199474.29,4474914.83
2014,Terciário,26182.61,4452.66,0,13886.65,7843.3,0,26206.21,17953.83,17530.59,26182.61
2014,Terciário,17033602,4384690.96,0,3705782.4,8124917.79,818210.86,36518582.82,10021574.9,9334953.64,17033602
2014,Terciário,5184285.59,1305720.93,12174.81,2139160.53,720562.2,1006667.11,10584928.16,5336860.92,4832547.15,5184285.59
2014,Terciário,40470551.39,10981270.7,-740912.29,10933814.4,18825.84,19277552.74,100798073.5,46469280.21,35741649.8,40470551.39
2014,Terciário,135517748.83,76113169.85,-1706070.5,20692334.06,-6611337.01,47029652.43,287184152.94,178028251.36,124743345.95,135517748.83
2015,Primário,21469999.66,2706318.47,115181.26,5213710.6,1257768.37,12177020.95,47587209.03,20789499.8,14684830.02,21469999.66
2015,Primário,-39693.6,-14013557.11,0,14649465.74,-82660826.1,81985223.87,177555114.34,12199629.98,-7317385.72,-39693.6
2015,Secundário,119455726.67,16561091.19,372773.44,38792025.96,10261188.98,53468647.11,366101000.86,86015282.99,76508162.46,119455726.67
2015,Secundário,61466452.73,32506338.29,0,5387065.06,18389852.54,5183196.83,101773936.33,64286254.71,60054789.02,61466452.73
2015,Secundário,454635.15,198356.63,0,98410.83,-19283.5,177151.2,1372002.95,422457.9,330285.48,454635.15
2015,Secundário,16994409.54,5248850.69,312404.15,6872338.78,-4051671.5,8612487.41,59698991.63,14845232.2,12115953.44,16994409.54
2015,Secundário,1645881.51,173530.1,78.53,616924.99,34913.06,820434.83,5102597.36,1879338.25,1453607.65,1645881.51
2015,Secundário,230565406.68,138969348.31,6218667.33,24153213.62,-5668088.73,66892266.14,438326105.51,196910771.19,180199193.01,230565406.68
2015,Secundário,35075247.71,7632400.04,5842.88,16062968.56,318782.49,11055253.74,97746317.45,29762879.27,26279716.25,35075247.71
2015,Secundário,40081725.14,4819199.49,-14380426.27,25441289.39,-2367916.11,26569578.65,200516999.83,39620739.93,27797032.62,40081725.14
2015,Secundário,35047339.82,-442311.13,0,6281368.34,-3533607.12,32741889.73,66104601.12,34274124.94,25742309.82,35047339.82
2015,Secundário,253281447.54,160804535.09,94515.57,45409251.37,-50661716.02,97634861.53,801524456,302401407.24,245328060.37,253281447.54
2015,Secundário,15830624.14,3205610.53,-29854.09,2144616.69,3854797.01,6655454,78503351.65,16486980,13335971.55,15830624.14
2015,Secundário,19374980.17,5263586.9,81489.04,8301542.02,1048725.43,4679636.77,46821201,18738093.61,17322111.42,19374980.17
2015,Sem Setor Principal,4560663.13,748830.19,73778.49,529473.13,-1837588.28,5046169.59,4877822.12,1648402.96,1587312.33,4560663.13
2015,Terciário,195401760.42,-8957378.66,839367.07,93251331.03,103717173.58,6551267.4,811930753.15,202499354.2,186627542.9,195401760.42
2015,Terciário,5349851.69,1219678.28,1371968.68,645622.49,1774302.06,338280.17,3510935.26,737833.47,579543.12,5349851.69
2015,Terciário,68561229.64,18585059.27,0,23761251.02,963519.88,25251399.47,252636947.44,64861920.82,60397848.89,68561229.64
2015,Terciário,8183925.16,1198375.33,0,5659249.4,-62062.54,1388362.97,12266567.84,7965532.79,7336400.42,8183925.16
2015,Terciário,118625.31,47525.51,0,31196.29,10913.28,28990.22,191085.87,82954.04,80358.16,118625.31
2015,Terciário,11626973.52,1586413.22,0,5144956.81,3007221.06,1888382.43,14224763.22,11765243.58,10868041.71,11626973.52
2015,Terciário,12798153.9,2883525.36,0,4114099.78,63674.82,5736853.94,31926899.4,10115758.11,9463854.37,12798153.9
2015,Terciário,1696576.91,492289.74,0,1185050.79,-672580.84,691817.23,4429281.16,1690519.85,1434065.7,1696576.91
2015,Terciário,1297657.59,341814.17,113594.89,419869.16,79825.56,342553.81,1853942,1321081.94,1250337.69,1297657.59
2015,Terciário,29935151.4,5923723.28,4045.18,2412004.11,18722906.68,2872472.15,29075382.8,14725780.15,12402758.58,29935151.4
2015,Terciário,4168300.63,971580.07,0,1909944.83,52217.52,1234558.2,8421744.23,4731171.84,3759944.45,4168300.63
2015,Terciário,26665.63,4524.95,0,13310.69,8830,0,25681.83,19096.45,18473.89,26665.63
2015,Terciário,19286811.67,5112959.47,0,3772301.32,9660563.23,740987.66,37238471.09,10707865.13,10016566.23,19286811.67
2015,Terciário,5538760.04,1368090.56,10496.34,2318520.9,569239.55,1272412.7,11389468.74,5704212.63,5181363.43,5538760.04
2015,Terciário,51977638.23,11188276.74,-44829.68,11684183.96,-8624279.22,37774286.42,103944772.49,50853073.48,39978421.01,51977638.23
2015,Terciário,132574517.6,66881225.04,-5081855.99,20269516.35,-2496174.57,53001806.78,237590242.9,150078202.71,116689700.97,132574517.6
2016,Primário,24973259.4,4728661.44,-33932.97,4884984.01,3068467.19,12325079.73,47426923.76,22181253.31,16130209.62,24973259.4
2016,Primário,44577686.81,19386315.31,2872783.76,11553964.68,23451749.15,-12687126.1,154386151.19,59837965.51,43348580.88,44577686.81
2016,Secundário,83597321.98,10259186.49,421279.38,40160799.43,283151.82,32472904.86,354511279.57,80407863.29,69710436.92,83597321.98
2016,Secundário,57600139.7,28772439.35,0,4954351.58,17604131.09,6269217.69,96317673.47,61397804.58,56834892.52,57600139.7
2016,Secundário,1092799.49,414279.93,0,264705.19,-54446.96,468261.33,2637368.12,1159263.39,931741.98,1092799.49
2016,Secundário,6286312.97,4154703.61,-556455.58,5631023.24,-9853750,6910791.69,42503229.22,4937011.48,2931203.99,6286312.97
2016,Secundário,643449.61,196968.41,0,210676.69,21890.46,213914.04,1479128.67,720785.42,589719.82,643449.61
2016,Secundário,246845392.74,132510504.89,2138684.31,24388066.41,28980407,58827730.13,432719913.86,225213590.37,209425118.95,246845392.74
2016,Secundário,31659092.86,6710674.67,6663.08,15319117.47,162591.41,9460046.23,91727352.92,28447459.7,24836780.73,31659092.86
2016,Secundário,33328934.33,10645277.92,-8344960.69,21912153.71,-2538572.74,11655036.14,172947621.23,39995865.08,28597699.53,33328934.33
2016,Secundário,27087144.2,6749232.24,0,6085156.97,10834215.32,3418539.67,62202502.76,26553812.94,17828573.92,27087144.2
2016,Secundário,271496588.38,146499132.94,26431.63,49264181.96,-15953542.6,91660384.44,675019709.55,332077886.38,264776423.67,271496588.38
2016,Secundário,16440968.34,4918038.36,149163,2257876.93,-786981.56,9902871.62,74594641.12,18600416.9,14755889.83,16440968.34
2016,Secundário,17346232.38,4895994.22,173744.53,7465181.22,927931.72,3883380.69,41376095.33,17091156.84,15814247.14,17346232.38
2016,Sem Setor Principal,2998618.24,408610.01,24359.51,507599.31,-858815,2916864.4,2737187.76,1062676.68,999661.37,2998618.24
2016,Terciário,268104879.96,78787783.46,527511.84,95192546.22,86811459.34,6785579.1,874041912.7,266297319,249780690.05,268104879.96
2016,Terciário,4090825.38,86140.97,1505467.47,692818.53,1210978.92,595419.5,3466663.97,2652478.44,2520185.72,4090825.38
2016,Terciário,91063010.56,37071709.12,0,23842718.53,2467114.87,27681468.04,415656472.08,88001188.23,82221339,91063010.56
2016,Terciário,7478172.77,1395038.39,0,4684436.71,210257.31,1188440.35,11915441.41,7474264.91,6888481.83,7478172.77
2016,Terciário,87078.8,38924.9,0,28432.44,-10598.76,30320.22,169897.65,54666.28,52241.63,87078.8
2016,Terciário,11516848.18,903419.88,0,5270842.26,3342342.19,2000243.85,13961322.15,11567503.43,10631161.07,11516848.18
2016,Terciário,12072520.66,3360208.16,0,3552009.73,1370626.31,3789676.45,28574163.08,10602376.1,10060258.51,12072520.66
2016,Terciário,2621516.4,416958.88,0,1311665.09,18713.66,874178.77,5141829.95,2694842.52,2407818.99,2621516.4
2016,Terciário,1376463.23,329970.23,87093.6,384512.72,169999.91,404886.77,1752992.9,1426529.13,1329321.16,1376463.23
2016,Terciário,28768739.13,6080622.52,4658.23,2381286.44,17586458.87,2715713.07,28589027.17,14838264.65,12526992.97,28768739.13
2016,Terciário,4666644.51,1241024.65,0,1629088.23,610112.71,1186418.92,8708025.63,5178861.69,4168770.71,4666644.51
2016,Terciário,76579.21,5865.22,0,13853.29,8880.63,47980.07,29329.45,19326.76,18748.55,76579.21
