SETOR_ATIV,Cont.Núm - SETOR_ATIV,,,,PERC,Cont.Núm - PERC,,,,,,,,
,,,,,0.138305649936523,1,,,,,,,,
,,,,,0.13859052345549,1,,,,,,,,
,,,,,0.138783534984892,1,,,,,,,,
,,,,,0.138828113166266,1,,,,,,,,
,,,,,0.139440847827213,1,,,,,,,,
,,,,,0.139485686313722,1,,,,,,,,
,,,,,0.139668296988196,1,,,,,,,,
,,,,,0.139939916317365,1,,,,,,,,
,,,,,0.140311870925097,1,,,,,,,,
,,,,,0.140367780919549,1,,,,,,,,
,,,,,0.140519256619157,1,,,,,,,,
,,,,,0.1405685186524,1,,,,,,,,
,,,,,0.140725575287583,1,,,,,,,,
,,,,,0.14117633829294,1,,,,,,,,
,,,,,0.141345743969728,1,,,,,,,,
,,,,,0.141817989165706,1,,,,,,,,
,,,,,0.142010419157941,1,,,,,,,,
,,,,,0.142204853056154,1,,,,,,,,
,,,,,0.142210514618435,1,,,,,,,,
,,,,,0.14298946526921,1,,,,,,,,
,,,,,0.143094115788867,1,,,,,,,,
,,,,,0.14316891023896,1,,,,,,,,
,,,,,0.144247191410761,1,,,,,,,,
,,,,,0.1443376703615,1,,,,,,,,
,,,,,0.144390026968009,1,,,,,,,,
,,,,,0.144608083286871,1,,,,,,,,
,,,,,0.144711105331363,1,,,,,,,,
,,,,,0.144987081644089,1,,,,,,,,
,,,,,0.144990092728999,1,,,,,,,,
,,,,,0.144995183945878,1,,,,,,,,
,,,,,0.145295465497509,1,,,,,,,,
,,,,,0.145983932611876,1,,,,,,,,
,,,,,0.14664254890921,1,,,,,,,,
,,,,,0.146787545894635,1,,,,,,,,
,,,,,0.146807882258356,1,,,,,,,,
,,,,,0.147062862243176,1,,,,,,,,
,,,,,0.147188609085184,1,,,,,,,,
,,,,,0.14726270885176,1,,,,,,,,
,,,,,0.147815088175061,1,,,,,,,,
,,,,,0.148753309176764,1,,,,,,,,
,,,,,0.14886223358694,1,,,,,,,,
,,,,,0.148870952575749,1,,,,,,,,
,,,,,0.149306675266043,1,,,,,,,,
,,,,,0.149799006857413,1,,,,,,,,
,,,,,0.149815817726072,1,,,,,,,,
,,,,,0.150165529116261,1,,,,,,,,
,,,,,0.150429775733705,1,,,,,,,,
,,,,,0.150576189714677,1,,,,,,,,
,,,,,0.150749500300884,1,,,,,,,,
,,,,,0.150891285707839,1,,,,,,,,
,,,,,0.150907044305985,1,,,,,,,,
,,,,,0.150988353640328,1,,,,,,,,
,,,,,0.151040863724591,1,,,,,,,,
,,,,,0.151042814768208,1,,,,,,,,
,,,,,0.151209129607825,1,,,,,,,,
,,,,,0.151459622258106,1,,,,,,,,
,,,,,0.151724234157809,1,,,,,,,,
,,,,,0.152023407607472,1,,,,,,,,
,,,,,0.152044799141573,1,,,,,,,,
,,,,,0.15231055463368,1,,,,,,,,
,,,,,0.152505963257961,1,,,,,,,,
,,,,,0.152907049229609,1,,,,,,,,
,,,,,0.153205759397375,1,,,,,,,,
,,,,,0.15352491396312,1,,,,,,,,
,,,,,0.1536882517844,1,,,,,,,,
,,,,,0.153707560702684,1,,,,,,,,
,,,,,0.154220678708327,1,,,,,,,,
,,,,,0.154299955453352,1,,,,,,,,
,,,,,0.154784896729993,1,,,,,,,,
,,,,,0.155189783234059,1,,,,,,,,
,,,,,0.15525639533322,1,,,,,,,,
,,,,,0.1556233591227,1,,,,,,,,
,,,,,0.155858338378666,1,,,,,,,,
,,,,,0.156115735767991,1,,,,,,,,
,,,,,0.156126109721464,1,,,,,,,,
,,,,,0.15619551155858,1,,,,,,,,
,,,,,0.156248965467328,1,,,,,,,,
,,,,,0.156409868829882,1,,,,,,,,
,,,,,0.157680321706664,1,,,,,,,,
,,,,,0.157687869356926,1,,,,,,,,
,,,,,0.157728686135535,1,,,,,,,,
,,,,,0.158239135845761,1,,,,,,,,
,,,,,0.158397110104746,1,,,,,,,,
,,,,,0.158605686032138,1,,,,,,,,
,,,,,0.158807112383496,1,,,,,,,,
,,,,,0.159499412552096,1,,,,,,,,
,,,,,0.159742377985028,1,,,,,,,,
,,,,,0.159869205521887,1,,,,,,,,
,,,,,0.160175087464935,1,,,,,,,,
,,,,,0.160364200939649,1,,,,,,,,
,,,,,0.160565842046078,1,,,,,,,,
,,,,,0.161232947526132,1,,,,,,,,
,,,,,0.161532010025189,1,,,,,,,,
,,,,,0.161887358260707,1,,,,,,,,
,,,,,0.162000432883898,1,,,,,,,,
,,,,,0.162093433308097,1,,,,,,,,
,,,,,0.162102228932373,1,,,,,,,,
,,,,,0.162772866154722,1,,,,,,,,
,,,,,0.162898600721485,1,,,,,,,,
,,,,,0.163064325597435,1,,,,,,,,
,,,,,0.163149768399382,1,,,,,,,,
,,,,,0.163693897441024,1,,,,,,,,
,,,,,0.164111478399635,1,,,,,,,,
,,,,,0.164307917164148,1,,,,,,,,
,,,,,0.164488091250395,1,,,,,,,,
,,,,,0.164655354637868,1,,,,,,,,
,,,,,0.164840757363316,1,,,,,,,,
,,,,,0.165028953003637,1,,,,,,,,
,,,,,0.165199074158784,1,,,,,,,,
,,,,,0.165360291226423,1,,,,,,,,
,,,,,0.165589637543799,1,,,,,,,,
,,,,,0.165877239570349,1,,,,,,,,
,,,,,0.165903591084064,1,,,,,,,,
,,,,,0.165917893260442,1,,,,,,,,
,,,,,0.16613683249349,1,,,,,,,,
,,,,,0.166323942398467,1,,,,,,,,
,,,,,0.166447464622065,1,,,,,,,,
,,,,,0.166619845939517,1,,,,,,,,
,,,,,0.167055194997504,1,,,,,,,,
,,,,,0.167680255178941,1,,,,,,,,
,,,,,0.168188905597782,1,,,,,,,,
,,,,,0.168291135439703,1,,,,,,,,
,,,,,0.16837426380709,1,,,,,,,,
,,,,,0.168526855668209,1,,,,,,,,
,,,,,0.168818946698888,1,,,,,,,,
,,,,,0.168835947535608,1,,,,,,,,
,,,,,0.169478808301552,1,,,,,,,,
,,,,,0.169651009368566,1,,,,,,,,
,,,,,0.169755831515355,1,,,,,,,,
,,,,,0.169971006720408,1,,,,,,,,
,,,,,0.170385371350215,1,,,,,,,,
,,,,,0.170475241764151,1,,,,,,,,
,,,,,0.170851908798289,1,,,,,,,,
,,,,,0.171085634884653,1,,,,,,,,
,,,,,0.171092677470201,1,,,,,,,,
,,,,,0.171278794997862,1,,,,,,,,
,,,,,0.1716254890846,1,,,,,,,,
,,,,,0.171707450706931,1,,,,,,,,
