ANO,SETOR_ATIV,Receitas,Distribuição,Pessoal,Governo,RCT,RCP
2013,Bolsas de Valores/Mercadorias e Futuros,2370229,2464541,364198,900908,118488,864644
2013,Brinquedos e Lazer,912230,240523,77903,162525,84236,-84141
2013,Comunicação e Informática,10483391.54,5646116.53,3859395.89,1136116.28,585286.37,65317.99
2013,Comércio (Atacado e Varejo),151418199.35,41445555.74,13185724.85,12459042.37,12234968.32,3565820.21
2013,Construção Civil Mat. Constr. e Decoração,51473854.98,19018450.54,4881863.33,4669771.86,4459927.24,5031295.12
2013,Crédito Imobiliário,312748,183727,66020,57330,20208,40169
2013,Educação,6509779,4974236,2443549,751129,745246,1034312
2013,Embalagens,2546405,776198,290973,68606,246588,162541
2013,Energia Elétrica,185181947,81484252,15426052,43285526,16457242,5253289
2013,Extração Mineral,130974865,54293946,10076226,21966535,24971307,-3330776
2013,Farmacêutico e Higiene,19479176,7287736,2398391,2232536,1893168,763641
2013,Gráficas e Editoras,2362912,1333769,569241,342912,260817,160799
2013,Hospedagem e Turismo,1241234,831752,230618,146235,230335,144399
2013,Intermediação Financeira,14450469,14037256,1699890,2766196,382075,9135153
2013,Metalurgia e Siderurgia,138258867.61,41398112.74,15733103.11,9837222.08,12782081.13,849596.42
2013,Máquinas Equipamentos Veículos e Peças,65234291,24059510,10229359,6171073,5164724,2473703
2013,Papel e Celulose,34519902,12364384,3207958,1037246,9453722,-1334542
2013,Petroquímicos e Borracha,52036870,6987450,1237111,2369119,3019615,350091
2013,Petróleo e Gás,544122186,166974684,29271745,108246423,39740884,-12573506
2013,Saneamento Serv. Água e Gás,5359949,2704334,1014801,746794,422046,484327
2013,Securitização de Recebíveis,20910,16347,8223,3426,0,4698
2013,Seguradoras e Corretoras,20228419,8388195,2067909,1775823,79231,4465232
2013,Sem Setor Principal,4980095,2164734.57,716002,581508,1826531.14,-1039381.57
2013,Serviços Médicos,6839768,3066040,1294698,759109,584375,421508
2013,Serviços Transporte e Logística,55929286.05,24488427.13,6359279.11,6109512.24,8749268.7,3415949.08
2013,Telecomunicações,219296399,105724465.38,14394633,60079660,24086524.55,7306742.83
2013,Têxtil e Vestuário,30166049.12,12342886.61,5159777.08,3802790.88,2030324.86,1289579.78
2014,Agricultura (Açúcar Álcool e Cana),30188646,9753776,3405685,2538078,4481062,-671049
2014,Alimentos,208045584,56480712,21095174,10603735,20558946,3983767
2014,Bancos,504037399,158011885,58445764,35140478,4216062,59674622
2014,Bebidas e Fumo,76575537,49627435,3636385,28853192,3061681,14076177
2014,Bolsas de Valores/Mercadorias e Futuros,2246452,2434987,363094,932568,153604,781642
2014,Brinquedos e Lazer,915309,186016,66861,124098,79085,-84028
