CNPJ_CIA,SETOR_ATIV,ANO,Distribuição_do_Valor_Adicionado,Impostos_Taxas_e_Contribuições,Outros,Pessoal,Receitas,Remuneração_de_Capitais_de_Terceiros,Remuneração_de_Capitais_Próprios,Valor_Adicionado_Bruto,Valor_Adicionado_Líquido_Produzido,Valor_Adicionado_Total_a_Distribuir,VAB_Receitas,VALP_Receitas,DVA_Receitas,Pessoal_Receitas,Impostos_Receitas,Cap_Terceiros_Receitas,Cap_Proprio_Receitas,Outros_Receitas,Pessoal_DVA,Impostos_DVA,Cap_Terceiros_DVA,Cap_Proprio_DVA,Outros_DVA
34.274.233/0001-02,Comércio (Atacado e Varejo),2022,32799000,26926000,0,1026000,215067000,3310000,1537000,31855000,31302000,32799000,0.148116633421213,0.145545341684219,0.152505963257961,0.00477060636917798,0.125198194051156,0.0153905527114806,0.00714661012614674,0,0.031281441507363,0.820939662794597,0.10091771090582,0.0468611847922193,0
33.453.598/0001-23,Comércio (Atacado e Varejo),2020,16362889,8529305,0,566530,110000168,5166170,2100884,12444152,11620404,16362889,0.11312848176741,0.105639875022736,0.148753309176764,0.00515026486141367,0.077539017940409,0.04696511008965,0.0190989162852915,0,0.0346228590806917,0.521259112617582,0.315724808742515,0.128393219559211,0
13.522.948/0001-59,Energia Elétrica,2021,194540,168410,0,6852,1146707,2896,16382,196170,195641,194540,0.171072470997386,0.170611150014781,0.169651009368566,0.0059753712151404,0.146864020189988,0.00252549256261626,0.0142861254008217,0,0.0352215482677084,0.86568314999486,0.0148863986840753,0.0842089030533566,0
24.624.551/0001-94,Energia Elétrica,2018,399672,247834,0,11807,1877997,61016,79015,376023,376023,399672,0.20022555946575,0.20022555946575,0.212818231339028,0.00628701749789803,0.131967196965703,0.0324899347549543,0.042074082120472,0,0.0295417242138554,0.620093476650854,0.152665185452071,0.19769961368322,0
18.483.666/0001-03,Comércio (Atacado e Varejo),2020,60402,13481,0,9119,1371027,14625,23177,60117,59976,60402,0.0438481517869451,0.0437453091733423,0.0440560251548657,0.0066512183932191,0.0098327749927609,0.0106671859853963,0.0169048457834893,0,0.150971822125095,0.223187973908149,0.242127744114433,0.383712459852323,0
28.201.130/0001-01,Energia Elétrica,2018,51738,24395,1234,905,123787,1760,23444,51621,51616,51738,0.417014710753149,0.416974318789534,0.417959882701738,0.00731094541430037,0.197072390477191,0.0142179711924516,0.189389838997633,0.00996873662016205,0.0174919788163439,0.471510301905756,0.0340175499632765,0.453129228033554,0.02385094128107
44.689.123/0001-57,"Agricultura (Açúcar, Álcool e Cana)",2011,186289,11208,0,750,101111,20255,154076,87359,87165,186289,0.863991059330834,0.86207237590371,1.84242070595682,0.00741759056878084,0.110848473459861,0.200324395960875,1.5238302459673,0,0.00402600260884969,0.0601645829866498,0.108728910456334,0.827080503948167,0
02.762.115/0001-49,Extração Mineral,2016,509031,32105,0,12476,1679493,51629,412821,454596,453893,509031,0.270674542853111,0.270255964151086,0.303086109915314,0.00742843227092938,0.0191158879495181,0.0307408247608058,0.24580096493406,0,0.0245093127923447,0.0630708149405439,0.101426042814681,0.81099382945243,0
10.846.981/0001-46,Serviços Transporte e Logística,2011,-16074,-21547,0,7276,934955,77111,-78914,-20998,-21866,-16074,-0.0224588349171885,-0.0233872218449016,-0.0171922712857838,0.00778219272585312,-0.0230460289532651,0.082475627169222,-0.0844040622275938,0,-0.452656463854672,1.34048774418315,-4.79725021774294,4.90941893741446,0
33.453.598/0001-23,Comércio (Atacado e Varejo),2021,12512256,7725352,0,784538,96917878,2963022,1039344,10860010,9872435,12512256,0.112053732748874,0.101863920297553,0.129101629732339,0.00809487388900529,0.079710288332974,0.0305725018040531,0.0107239657063065,0,0.0627015623721254,0.617422789303544,0.236809572949914,0.0830660753744169,0
