ANO,CNPJ_CIA,SETOR_ATIV,Receitas,VAB,VALP,VATD,Distribuição,Pessoal,Governo,RCT,RCP,Outros,Dist_Relat
2020,50.746.577/0001-15,Agricultura (Açúcar Álcool e Cana),17448436,7150036,6526952,7353592,7353592,591722,4362573,1490482,259272,649543,0.0827579049951637
2023,07.823.262/0001-03,Energia Elétrica,273643,140715,106497,124320,124320,11635,12911,107240,-7466,0,0.0826848594677184
2015,01.917.705/0001-30,Energia Elétrica,24368277,11998785,11462163,11935040,11935040,987820,10083175,809764,54281,0,0.0823266689085603
2023,00.194.724/0001-13,Energia Elétrica,4046645,2224354,1619899,1913424,1913424,182770,635710,760854,334090,0,0.0821676765478876
2022,02.429.144/0001-93,Energia Elétrica,54959613,27214794,25176227,27940879,27940879,2235836,15311475,5174755,5218813,0,0.0821551689863976
2022,02.998.611/0001-04,Energia Elétrica,6300965,4262037,4234539,4914648,4914648,350118,1262044,982695,2319791,0,0.0821480432947907
2017,43.185.362/0001-07,Máquinas Equipamentos Veículos e Peças,195519,165957,158951,166728,166728,13625,1365,107735,44003,0,0.0820995800116898
2016,08.560.444/0001-93,Energia Elétrica,467759,404725,402601,2006189,2006189,33157,443202,85804,1444026,0,0.0819247637284576
2013,04.423.567/0001-21,Energia Elétrica,2686031,1472067,1325528,1202603,1202603,120553,14411,2012060,-944421,0,0.0818936909800981
2021,60.894.730/0001-05,Metalurgia e Siderurgia,41889435,14745633,13762892,16146349,16146349,1202967,3799541,1083887,10059954,0,0.0815812383232378
2015,07.628.528/0001-59,Agricultura (Açúcar Álcool e Cana),377826,215459,193237,311434,311434,17537,22460,90627,100144,80666,0.0813936758269555
2017,11.669.021/0001-10,Petróleo e Gás,765786,632136,566495,677582,677582,51440,245964,22803,357375,0,0.0813748940101497
2023,07.859.971/0001-30,Energia Elétrica,3694623,2501407,2483483,3059004,3059004,203544,435796,1051830,1367834,0,0.0813718039487377
2016,61.584.140/0001-49,Energia Elétrica,12222246,6184530,5673575,6172650,6172650,502695,4477617,987435,196917,7986,0.0812826520366139
2021,00.864.214/0001-06,Energia Elétrica,37243817,16743134,15500148,17026305,17026305,1359602,10319432,2580931,1282322,1484018,0.0812035548422416
2009,08.534.605/0001-74,Energia Elétrica,33753,25830,18741,23098,23098,2095,2020,20520,-1537,0,0.081107239643825
2018,07.816.890/0001-53,Construção Civil Mat. Constr. e Decoração,1377661,1195195,992474,1084650,1084650,96929,283200,233948,470573,0,0.0810989001794686
2018,02.286.479/0001-08,Serviços Transporte e Logística,1558457,729000,564236,599712,599712,59084,160971,169577,210080,0,0.0810480109739369
2018,05.730.375/0001-20,Comércio (Atacado e Varejo),1085470,941970,924612,1194828,1194828,76101,433897,38988,167371,478471,0.0807891971081882
2016,07.526.557/0001-00,Bebidas e Fumo,71583332,45630872,42239714,42808446,42808446,3682076,21383688,4659285,13083397,0,0.0806926503617989
2014,07.526.557/0001-00,Bebidas e Fumo,59682893,37120157,34829487,35785512,35785512,2995176,17604574,2823743,12362019,0,0.0806886673458843
2013,02.558.157/0001-62,Telecomunicações,46970960,28943197,23299887,24993014,24993014,2334734,14496157,3615099,3715945,831079,0.0806660715469684
